u,v,x,y,z,r,g,b
848,482,0.0668945,-0.0491638,-0.361328,0.4980392156862745,0.47843137254901963,0.24705882352941178
853,482,0.0685425,-0.0491638,-0.361328,0.39215686274509803,0.34901960784313724,0.13725490196078433
848,486,0.0668945,-0.0508423,-0.361328,0.49411764705882355,0.4666666666666667,0.2235294117647059
853,486,0.0685425,-0.0508423,-0.361328,0.44313725490196076,0.39215686274509803,0.19215686274509805
931,499,0.0983887,-0.0586548,-0.379395,0.4549019607843137,0.4627450980392157,0.2235294117647059
931,503,0.0983887,-0.0604248,-0.379395,0.45098039215686275,0.4588235294117647,0.2196078431372549
